tournament_year,team,preseason_odds,pre_tournament_odds,result,all_columns,preseason_col_idx,pretournament_col_idx
2008,Kansas,,+700,WINNER,+700||||+200||**  WINNER  **,,0
2008,North Carolina,,+400,,+400||||+150||,,0
2008,UCLA,,+350,,+350||||+250||,,0
2008,Memphis,,+800,,+800||||+250||,,0
2008,Georgetown,,+1000,,+1000||||||,,0
2008,Tennessee,,+1200,,+1200||||||,,0
2008,Duke,,+1500,,+1500||||||,,0
2008,Stanford,,+1500,,+1500||||||,,0
2008,Texas,,+1500,,+1500||||||,,0
2008,Louisville,,+2000,,+2000||||||,,0
2008,Wisconsin,,+2000,,+2000||||||,,0
2008,Clemson,,+3000,,+3000||||||,,0
2008,Pittsburgh,,+4000,,+4000||||||,,0
2008,USC,,+4000,,+4000||||||,,0
2008,Vanderbilt,,+4000,,+4000||||||,,0
2008,Washington State,,+4000,,+4000||||||,,0
2008,Xavier,,+4000,,+4000||||||,,0
2008,Connecticut,,+5000,,+5000||||||,,0
2008,Notre Dame,,+5000,,+5000||||||,,0
2008,Marquette,,+6500,,+6500||||||,,0
2008,Michigan State,,+6500,,+6500||||||,,0
2008,Purdue,,+6500,,+6500||||||,,0
2008,Arizona,,+10000,,+10000||||||,,0
2008,Arkansas,,+10000,,+10000||||||,,0
2008,Butler,,+10000,,+10000||||||,,0
2008,BYU,,+10000,,+10000||||||,,0
2008,Davidson,,+10000,,+10000||||||,,0
2008,Drake,,+10000,,+10000||||||,,0
2008,Gonzaga,,+10000,,+10000||||||,,0
2008,Indiana,,+10000,,+10000||||||,,0
2008,Kansas State,,+10000,,+10000||||||,,0
2008,Kent State,,+10000,,+10000||||||,,0
2008,Miami (FL),,+10000,,+10000||||||,,0
2008,Mississippi State,,+10000,,+10000||||||,,0
2008,Oklahoma,,+10000,,+10000||||||,,0
2008,Oregon,,+10000,,+10000||||||,,0
2008,St Mary's (CA),,+10000,,+10000||||||,,0
2008,UNLV,,+10000,,+10000||||||,,0
2008,West Virginia,,+10000,,+10000||||||,,0
2008,Baylor,,+25000,,+25000||||||,,0
2008,Kentucky,,+25000,,+25000||||||,,0
2008,South Alabama,,+25000,,+25000||||||,,0
2008,St Joseph's,,+25000,,+25000||||||,,0
2008,Texas A&M,,+25000,,+25000||||||,,0
2008,George Mason,,+50000,,+50000||||||,,0
2008,Temple,,+50000,,+50000||||||,,0
2008,Villanova,,+50000,,+50000||||||,,0
2008,Western Kentucky,,+50000,,+50000||||||,,0
2008,Georgia,,+100000,,+100000||||||,,0
2008,San Diego,,+100000,,+100000||||||,,0
2008,Boise State,,+500000,,+500000||||||,,0
2008,Cornell,,+500000,,+500000||||||,,0
2008,CS Fullerton,,+500000,,+500000||||||,,0
2008,Oral Roberts,,+500000,,+500000||||||,,0
2008,Siena,,+500000,,+500000||||||,,0
2008,Winthrop,,+500000,,+500000||||||,,0
2008,American,,+1000000,,+1000000||||||,,0
2008,Austin Peay,,+1000000,,+1000000||||||,,0
2008,Belmont,,+1000000,,+1000000||||||,,0
2008,Coppin State,,+1000000,,+1000000||||||,,0
2008,Mississippi Valley State,,+1000000,,+1000000||||||,,0
2008,Mount St Mary's,,+1000000,,+1000000||||||,,0
2008,Portland State,,+1000000,,+1000000||||||,,0
2008,UMBC,,+1000000,,+1000000||||||,,0
2008,UT-Arlington,,+1000000,,+1000000||||||,,0
2009,North Carolina,+450,+400,WINNER,+450|+400||+250||+120||**  WINNER  **,0,1
2009,Connecticut,+1500,+700,,+1500|+700||+500||+250||,0,1
2009,Michigan State,+2200,+1500,,+2200|+1500||+1200||+450||,0,1
2009,Villanova,+4000,+3000,,+4000|+3000||+3000||+500||,0,1
2009,Louisville,+1200,+450,,+1200|+450||+400||||,0,1
2009,Pittsburgh,+2000,+500,,+2000|+500||+500||||,0,1
2009,Memphis,+2000,+900,,+2000|+900||+700||||,0,1
2009,Duke,+800,+1000,,+800|+1000||+1000||||,0,1
2009,Oklahoma,+4500,+1800,,+4500|+1800||+1500||||,0,1
2009,Syracuse,+3500,+2000,,+3500|+2000||+2000||||,0,1
2009,Gonzaga,+5000,+2500,,+5000|+2500||+2500||||,0,1
2009,Purdue,+2500,+4000,,+2500|+4000||+3500||||,0,1
2009,Missouri,+10000,+4000,,+10000|+4000||+3500||||,0,1
2009,Kansas,+1800,+5000,,+1800|+5000||+4000||||,0,1
2009,Xavier,,+10000,,|+10000||+7500||||,0,1
2009,Arizona,+3000,+15000,,+3000|+15000||+7500||||,0,1
2009,Wake Forest,+7500,+2200,,+7500|+2200||||||,0,1
2009,UCLA,+1200,+3000,,+1200|+3000||||||,0,1
2009,West Virginia,+1800,+5000,,+1800|+5000||||||,0,1
2009,Arizona State,+5000,+5000,,+5000|+5000||||||,0,1
2009,Washington,+10000,+5000,,+10000|+5000||||||,0,1
2009,Florida State,+9000,+6500,,+9000|+6500||||||,0,1
2009,Clemson,+7500,+8000,,+7500|+8000||||||,0,1
2009,LSU,+10000,+8000,,+10000|+8000||||||,0,1
2009,Texas,+1200,+10000,,+1200|+10000||||||,0,1
2009,Tennessee,+2000,+10000,,+2000|+10000||||||,0,1
2009,USC,+2500,+10000,,+2500|+10000||||||,0,1
2009,Marquette,+4500,+10000,,+4500|+10000||||||,0,1
2009,Boston College,+8000,+10000,,+8000|+10000||||||,0,1
2009,California,+8000,+10000,,+8000|+10000||||||,0,1
2009,Oklahoma State,+10000,+10000,,+10000|+10000||||||,0,1
2009,Utah,,+10000,,|+10000||||||,0,1
2009,Wisconsin,+4500,+15000,,+4500|+15000||||||,0,1
2009,BYU,+10000,+15000,,+10000|+15000||||||,0,1
2009,Illinois,+10000,+15000,,+10000|+15000||||||,0,1
2009,Ohio State,+2000,+20000,,+2000|+20000||||||,0,1
2009,Texas A&M,+5000,+20000,,+5000|+20000||||||,0,1
2009,Maryland,+5500,+25000,,+5500|+25000||||||,0,1
2009,Butler,,+25000,,|+25000||||||,0,1
2009,Temple,,+25000,,|+25000||||||,0,1
