YEAR,CURRENT ROUND,A_TEAM_NO,A_TEAM,A_SEED,A_SCORE,A_ROUND,B_TEAM_NO,B_TEAM,B_SEED,B_SCORE,B_ROUND,A_WIN,SCORE_DIFF,A_KADJ O,A_KADJ D,A_KADJ EM,A_BADJ EM,A_BADJ O,A_BADJ D,A_BARTHAG,A_KADJ T,A_RAW T,A_EFG%,A_TOV%,A_OREB%,A_FTR,A_EFG%D,A_TOV%D,A_DREB%,A_FTRD,A_2PT%,A_3PT%,A_2PT%D,A_3PT%D,A_2PTR,A_3PTR,A_BLK%,A_AST%,A_WIN%,A_ELITE SOS,A_WAB,A_EXP,A_TALENT,A_AVG HGT,A_EFF HGT,A_FT%,A_GAMES,A_W,A_L,B_KADJ O,B_KADJ D,B_KADJ EM,B_BADJ EM,B_BADJ O,B_BADJ D,B_BARTHAG,B_KADJ T,B_RAW T,B_EFG%,B_TOV%,B_OREB%,B_FTR,B_EFG%D,B_TOV%D,B_DREB%,B_FTRD,B_2PT%,B_3PT%,B_2PT%D,B_3PT%D,B_2PTR,B_3PTR,B_BLK%,B_AST%,B_WIN%,B_ELITE SOS,B_WAB,B_EXP,B_TALENT,B_AVG HGT,B_EFF HGT,B_FT%,B_GAMES,B_W,B_L,A_NET RPI,A_ELO,A_Q1 W,A_Q2 W,A_Q1 PLUS Q2 W,A_Q3 Q4 L,A_R SCORE,B_NET RPI,B_ELO,B_Q1 W,B_Q2 W,B_Q1 PLUS Q2 W,B_Q3 Q4 L,B_R SCORE,A_TR RATING,A_SOS RATING,A_LUCK RATING,A_CONSISTENCY TR RATING,A_V 1-25 WINS,A_V 1-25 LOSS,B_TR RATING,B_SOS RATING,B_LUCK RATING,B_CONSISTENCY TR RATING,B_V 1-25 WINS,B_V 1-25 LOSS,A_Z_EFG%,B_Z_EFG%,A_Z_TOV%,B_Z_TOV%,A_Z_OREB%,B_Z_OREB%,A_Z_FTR,B_Z_FTR,A_Z_EFG%D,B_Z_EFG%D,A_Z_TOV%D,B_Z_TOV%D,A_Z_DREB%,B_Z_DREB%,A_Z_FTRD,B_Z_FTRD,A_Z_2PT%,B_Z_2PT%,A_Z_3PT%,B_Z_3PT%,A_Z_2PT%D,B_Z_2PT%D,A_Z_3PT%D,B_Z_3PT%D,A_Z_2PTR,B_Z_2PTR,A_Z_3PTR,B_Z_3PTR,A_Z_BLK%,B_Z_BLK%,A_Z_AST%,B_Z_AST%,A_Z_FT%,B_Z_FT%,A_Z_WIN%,B_Z_WIN%,DIFF_KADJ O,DIFF_KADJ D,DIFF_KADJ EM,DIFF_BADJ EM,DIFF_BADJ O,DIFF_BADJ D,DIFF_BARTHAG,DIFF_KADJ T,DIFF_EFG%,DIFF_TOV%,DIFF_OREB%,DIFF_FTR,DIFF_EFG%D,DIFF_TOV%D,DIFF_DREB%,DIFF_FTRD,DIFF_2PT%,DIFF_3PT%,DIFF_2PT%D,DIFF_3PT%D,DIFF_BLK%,DIFF_AST%,DIFF_WIN%,DIFF_FT%,DIFF_Z_EFG%,DIFF_Z_TOV%,DIFF_Z_OREB%,DIFF_Z_FTR,DIFF_Z_EFG%D,DIFF_Z_TOV%D,DIFF_Z_DREB%,DIFF_Z_FTRD,DIFF_Z_2PT%,DIFF_Z_3PT%,DIFF_Z_2PT%D,DIFF_Z_3PT%D,DIFF_Z_2PTR,DIFF_Z_3PTR,DIFF_Z_BLK%,DIFF_Z_AST%,DIFF_Z_FT%,DIFF_Z_WIN%,DIFF_ELITE SOS,DIFF_WAB,DIFF_EXP,DIFF_TALENT,DIFF_AVG HGT,DIFF_EFF HGT,DIFF_NET RPI,DIFF_ELO,DIFF_Q1 PLUS Q2 W,DIFF_R SCORE,DIFF_TR RATING,DIFF_SOS RATING,DIFF_LUCK RATING,DIFF_CONSISTENCY TR RATING,DIFF_V 1-25 WINS,DIFF_SEED
2008,64,31,North Carolina,1,113.0,4,32,Mount St. Mary's,16,74.0,64,1,39.0,120.686,92.5415,28.1446,28.4,120.2,91.8,0.957,71.9191,76.1,52.4,19.0,42.4,39.1,48.0,21.2,71.3,25.5,51.2,37.8,47.0,33.2,77.8,22.2,11.0,52.5,94.11765,31.561,11.9,1.595,90.906,77.311,80.158,75.4,34,32,2,99.0167,100.058,-1.04085,-1.8,97.3,99.1,0.448,65.2309,68.4,50.2,20.9,30.0,38.7,46.4,22.0,67.0,38.6,48.1,36.7,45.7,32.1,69.9,30.1,9.5,53.0,56.25,9.636,-9.5,1.448,7.293,75.78,79.492,69.6,32,18,14,2,1,9,11,20,0,100.0,159,133,0,0,0,11,0.0,29.5,17.7,2.1,9.8,5,1,5.0,3.0,-0.6,11.6,0,0,0.07597634571369355,-0.7862948794496585,-0.2198786443332265,0.7165010996375855,2.3279573683106647,-1.2658630470473051,0.32934338414671444,0.22095189063007456,0.2403254095894232,-0.3752864770435854,-0.07717835356653407,0.2658365511736182,1.1572584203620284,-0.5678281315909661,-1.438990113415982,1.056021252036491,0.19140238327437456,-0.8829034727085212,0.4448324636496962,-0.0640558747655545,0.31680936154262884,-0.11358277753055628,-0.0490100750623306,-0.5643365996147728,2.2401607605476377,0.7475922506978755,-2.24016076054764,-0.7475922506978756,0.17170348314371706,-0.31214303727571596,-0.7240918990878041,-0.6256275195047345,1.383792326757988,-0.12093714306538257,1.9085505938150729,-1.535690735479689,21.669300000000007,-7.516500000000008,29.18545,30.2,22.900000000000006,-7.299999999999997,0.5089999999999999,6.688199999999995,2.1999999999999957,-1.8999999999999986,12.399999999999999,0.3999999999999986,1.6000000000000014,-0.8000000000000007,4.299999999999997,-13.100000000000001,3.1000000000000014,1.0999999999999943,1.2999999999999972,1.1000000000000014,1.5,-0.5,37.86765,5.800000000000011,0.862271225163352,-0.9363797439708119,3.59382041535797,0.10839149351663988,0.6156118866330086,-0.3430149047401523,1.7250865519529945,-2.495011365452473,1.0743058559828957,0.5088883384152507,0.43039213907318513,0.5153265245524422,1.4925685098497623,-1.4925685098497643,0.483846520419433,-0.09846437958306964,1.5047294698233704,3.444241329294762,21.925,21.4,0.14700000000000002,83.613,1.531000000000006,0.6659999999999968,-157,-132,20,100.0,24.5,14.7,2.7,-1.799999999999999,5,-15
2008,64,44,Indiana,8,72.0,64,63,Arkansas,9,86.0,32,0,-14.0,114.362,94.8557,19.5064,20.5,113.6,93.1,0.908,65.6213,67.3,52.4,20.2,36.1,42.7,46.9,19.9,71.1,30.0,52.6,34.6,44.8,33.8,65.2,34.8,10.4,52.0,78.125,27.986,4.8,1.587,52.71,77.392,80.08,76.3,32,25,7,109.701,94.8336,14.8678,16.0,108.2,92.2,0.863,66.2236,69.6,51.7,22.1,37.6,37.1,47.4,21.7,68.6,36.5,52.0,33.9,46.4,32.8,69.8,30.2,14.6,54.4,66.66667,25.901,0.5,2.232,59.525,77.418,81.732,67.2,33,22,11,22,31,5,3,8,2,98.1,31,42,6,3,9,4,95.0,22.1,15.1,0.7,10.1,1,5,18.7,14.0,-0.4,10.0,1,1,0.07597634571369355,-0.1983826804746446,0.3715190887009706,1.3078988326717844,0.5020647379271805,0.9368010784946769,1.3048668257964773,-0.21261408343648688,-0.18290776247077042,0.009470952102044605,-0.6345775737692814,0.1372059618960609,1.07702183655026,0.0740645389031695,-0.5819251405506287,0.6560575980326593,0.6765727698472945,0.46864260417318526,-1.0355699753764933,-1.359408008913474,-0.411546566119687,0.11816683581654251,0.2320771201480894,-0.2364015385359484,-0.14039154630135148,0.7286989784212946,0.14039154630135015,-0.7286989784212967,-0.021835125024056042,1.3329351321503562,-0.8225562786708738,-0.3499272566721397,1.6172848306960945,-0.7435838202336703,0.45394366428694355,-0.5882454800274796,4.661000000000001,0.02209999999999468,4.6385999999999985,4.5,5.3999999999999915,0.8999999999999915,0.04500000000000004,-0.6022999999999996,0.6999999999999957,-1.9000000000000021,-1.5,5.600000000000001,-0.5,-1.8000000000000007,2.5,-6.5,0.6000000000000014,0.7000000000000028,-1.6000000000000014,1.0,-4.199999999999999,-2.3999999999999986,11.458330000000004,9.099999999999994,0.2743590261883382,-0.9363797439708138,-0.4347363405674963,1.5174809092329642,-0.19237871457281502,-0.7717835356653423,1.0029572976470904,-1.237982738583288,0.20793016567410927,0.3238380335369806,-0.5297134019362295,0.4684786586840378,-0.8690905247226461,0.8690905247226468,-1.3547702571744122,-0.4726290219987341,2.3608686509297647,1.042189144314423,2.085000000000001,4.3,-0.6450000000000002,-6.814999999999998,-0.02600000000001046,-1.652000000000001,-9,-11,-1,3.0999999999999943,3.400000000000002,1.0999999999999996,1.1,0.09999999999999964,0,-1
2008,64,30,Notre Dame,5,68.0,32,48,George Mason,12,50.0,64,1,18.0,116.335,97.1396,19.1955,20.3,115.6,95.3,0.902,68.9559,71.3,52.8,18.2,36.6,34.8,46.9,17.6,69.0,22.8,48.4,41.0,44.7,34.1,66.5,33.5,8.7,67.1,77.41935,28.578,4.4,1.735,80.171,77.364,81.067,73.6,31,24,7,111.486,101.207,10.2781,10.4,109.2,98.8,0.76,60.9624,63.3,52.8,18.7,32.2,40.3,47.3,18.3,72.2,27.3,52.8,35.2,46.4,32.8,66.6,33.4,8.8,54.1,69.69697,13.265,-3.6,1.976,13.842,76.226,78.876,70.4,33,23,10,26,18,5,2,7,0,98.5,61,75,2,2,4,7,0.2,21.4,15.1,1.2,10.4,5,5,13.9,7.6,-1.3,11.6,1,0,0.23275293210703005,0.23275293210703005,-0.6141437996893585,-0.36772807759177617,0.6469768514496793,-0.6282497475483096,-0.8358651711571695,0.6545178646966341,-0.18290776247077042,-0.029004790812518947,-1.620745424897217,-1.3206073832495844,0.23453770652670625,1.5183230475149831,-1.9532290971351938,-1.0961641242698406,-0.7789383898714678,0.745882825071996,1.925234902675889,-0.7579945180590817,-0.44465365374069943,0.11816683581654251,0.37262071775330274,-0.2364015385359484,0.10522099329417871,0.12411426557075693,-0.10522099329418007,-0.12411426557075964,-0.5701945148327472,-0.5379380801381178,2.151067984737829,-0.40900588442198094,0.9168073188817675,0.08661174932405039,0.3897614693522996,-0.31262540589660776,4.8489999999999895,-4.067399999999992,8.917399999999999,9.9,6.3999999999999915,-3.5,0.14200000000000002,7.993499999999997,0.0,-0.5,4.399999999999999,-5.5,-0.3999999999999986,-0.6999999999999993,-3.200000000000003,-4.5,-4.399999999999999,5.799999999999997,-1.6999999999999957,1.3000000000000043,-0.10000000000000142,12.999999999999993,7.722380000000001,3.1999999999999886,0.0,-0.24641572209758233,1.275226598997989,-1.4903830358538035,-0.15390297165825148,-0.3001380416476327,-1.283785340988277,-0.8570649728653532,-1.5248212149434637,2.6832294207349707,-0.562820489557242,0.6090222562892511,-0.01889327227657822,0.018893272276579567,-0.032256434694629355,2.56007386915981,0.8301955695577171,0.7023868752489073,15.312999999999999,8.0,-0.24099999999999988,66.32900000000001,1.1380000000000052,2.1909999999999883,-35,-57,3,98.3,7.499999999999998,7.5,2.5,-1.1999999999999993,4,-7
2008,64,6,Washington St.,4,71.0,16,3,Winthrop,13,40.0,64,1,31.0,116.272,92.3676,23.9044,22.5,114.2,91.7,0.926,57.7887,59.5,54.4,17.2,28.1,39.8,47.7,22.2,69.9,28.8,52.9,38.1,46.3,33.7,65.6,34.4,8.7,58.9,75.0,31.951,4.9,2.39,24.685,77.764,81.077,73.3,32,24,8,99.6932,92.3864,7.30673,7.3,98.1,90.8,0.709,60.9746,64.0,50.0,20.0,33.8,36.3,46.1,23.4,71.0,33.8,47.1,37.4,45.8,31.0,68.3,31.7,11.8,54.7,64.51613,15.705,-4.2,1.963,4.133,76.006,79.42,59.8,31,20,11,23,23,4,8,12,0,98.6,108,93,1,2,3,7,0.0,22.8,17.0,1.0,8.8,1,5,14.2,8.9,-1.2,10.5,0,2,0.8598592776803787,-0.8646831726463281,-1.106975243884523,0.27295279986193804,-1.8165290784328003,-0.16453098427631518,0.5190284978008337,-0.42939707046976855,0.12489818084573526,-0.49071370578727336,0.3515902773586559,0.8661126344688835,0.5956023336796611,1.0369035446443786,-0.8104757999813894,0.14181861431344678,0.7805378526843479,-1.2294537488320358,0.5836201923084037,0.2597821587714229,0.08505974819552772,-0.08047568990954385,0.1852292542796883,-1.079663124167215,-0.06481845719503594,0.4452998942726053,0.06481845719503326,-0.4452998942726074,-0.5701945148327472,0.42975496070074826,0.5362521595754873,-0.29084862892229707,0.8389764842357319,-2.6634110748358992,0.16971017860599605,-0.7838472337222964,16.5788,-0.018799999999998818,16.59767,15.2,16.10000000000001,0.9000000000000057,0.21700000000000008,-3.1859000000000037,4.399999999999999,-2.8000000000000007,-5.699999999999996,3.5,1.6000000000000014,-1.1999999999999993,-1.0999999999999943,-4.9999999999999964,5.799999999999997,0.7000000000000028,0.5,2.700000000000003,-3.1000000000000014,4.199999999999996,10.483869999999996,13.5,1.7245424503267068,-1.3799280437464612,-1.6519980941564851,0.9484255682706022,0.6156118866330086,-0.5145223571102276,-0.4413012109647175,-0.9522944142948362,2.0099916015163837,0.32383803353698076,0.16553543810507157,1.2648923784469033,-0.5101183514676413,0.5101183514676406,-0.9999494755334954,0.8271007884977843,3.5023875590716314,0.9535574123282924,16.246000000000002,9.100000000000001,0.42700000000000005,20.552,1.7579999999999956,1.6569999999999965,-85,-70,9,98.6,8.600000000000001,8.1,2.2,-1.6999999999999993,1,-9
2008,64,29,Oklahoma,6,72.0,32,23,Saint Joseph's,11,64.0,64,1,8.0,109.474,94.3986,15.0751,15.7,108.0,92.3,0.859,62.5674,65.0,50.1,19.6,33.5,38.1,46.2,20.2,70.0,30.4,49.0,34.8,45.4,31.9,66.5,33.5,11.0,52.1,66.66667,33.332,2.8,1.669,63.704,77.981,81.253,68.1,33,22,11,114.718,100.152,14.5658,14.8,113.3,98.5,0.833,63.5629,65.4,54.6,19.3,32.5,40.0,50.3,21.6,65.9,32.6,52.8,38.5,47.2,36.9,64.2,35.8,13.7,58.8,63.63636,23.976,-1.2,1.974,34.745,78.503,81.31,72.6,33,21,12,27,36,6,5,11,1,95.5,44,48,5,3,8,4,63.6,18.6,15.8,1.8,10.8,3,7,16.8,12.5,-1.0,9.9,2,2,-0.8254890260479933,0.9382475708770484,0.07582022218387295,-0.07202921107467676,-0.25147825238981364,-0.5413024794348112,0.05836465035511378,0.5732242445591547,-0.45223796287270984,1.1252674966243712,-0.505946984491724,0.09432909880354283,0.6357206255855424,-1.0091293425556838,-0.505741587407042,-0.08673204511731325,-0.5710082241973585,0.745882825071996,-0.9430448229373583,0.7686704971866769,-0.21290404039360064,0.38302353678465845,-0.6580323313515817,1.6843609620686073,0.10522099329417871,-0.32932426906714435,-0.10522099329418007,0.32932426906714307,0.17170348314371706,1.0426272198986963,-0.8028634027542596,0.516559283658873,-0.5100913162955638,0.6573712033949799,-0.5882454800274796,-0.8638664637055051,-5.244,-5.753399999999999,0.5093000000000014,0.8999999999999986,-5.299999999999997,-6.200000000000003,0.026000000000000023,-0.9954999999999998,-4.5,0.3000000000000007,1.0,-1.8999999999999986,-4.099999999999994,-1.4000000000000021,4.099999999999994,-2.200000000000003,-3.799999999999997,-3.700000000000003,-1.8000000000000043,-5.0,-2.6999999999999993,-6.699999999999996,3.030309999999993,-4.5,-1.7637365969250416,0.1478494332585497,0.2898242270449976,-0.5148595942040409,-1.577505459497081,-0.6002760832952668,1.644849968141226,-0.41900954228972875,-1.3168910492693544,-1.7117153201240352,-0.5959275771782591,-2.342393293420189,0.43454526236132307,-0.4345452623613231,-0.8709237367549792,-1.3194226864131327,-1.1674625196905437,0.27562098367802557,9.356000000000002,4.0,-0.30499999999999994,28.959000000000003,-0.5220000000000056,-0.05700000000000216,-17,-12,3,31.9,1.8000000000000007,3.3000000000000007,2.8,0.9000000000000004,1,-5
2008,64,39,Louisville,3,79.0,8,59,Boise St.,14,61.0,64,1,18.0,111.828,88.6299,23.198,22.9,110.3,87.4,0.936,64.6887,67.2,52.0,19.6,33.4,36.4,43.8,21.4,69.3,33.2,52.5,34.2,42.3,31.0,60.9,39.1,13.6,58.1,75.0,30.593,4.7,1.617,83.94,77.488,81.28,65.5,32,24,8,108.605,104.484,4.12039,3.6,106.2,102.6,0.598,70.2142,72.9,57.3,21.0,30.2,40.3,49.9,19.4,70.5,33.6,56.1,39.6,48.9,34.7,64.3,35.7,5.7,60.6,75.0,11.798,-2.4,2.32,1.289,76.999,79.898,66.6,32,24,8,13,15,7,4,11,2,99.7,87,60,1,4,5,4,0.1,23.6,16.3,-0.6,10.3,6,3,10.8,6.5,3.1,11.0,0,1,-0.08080024067964293,1.9964895290320717,0.07582022218387295,0.7657842440571027,-0.2804606750943138,-1.207898201638306,-0.40229919709060813,0.6545178646966341,-1.3756557928222242,0.9713645249661197,0.008575372618503616,-0.8489618892318763,0.354892582244356,0.8363120851149606,0.027543284598067444,0.10372683774165413,0.6419177422349426,1.8894987362795956,-1.2206202802547665,1.277558835601931,-1.2392237566450448,0.9458440263419003,-1.079663124167215,0.6537079129637261,-0.9528022541942616,-0.3104309967905661,0.9528022541942605,0.31043099679056485,1.0103707852040675,-1.537887555671613,0.3787091522425764,0.8710310501579247,-1.18462521656121,-0.899245489525745,0.16971017860599605,0.16971017860599605,3.222999999999999,-15.854099999999988,19.07761,19.299999999999997,4.099999999999994,-15.199999999999989,0.3380000000000001,-5.525500000000008,-5.299999999999997,-1.3999999999999986,3.1999999999999993,-3.8999999999999986,-6.100000000000001,2.0,-1.2000000000000028,-0.3999999999999986,-3.6000000000000014,-5.399999999999999,-6.600000000000001,-3.700000000000003,7.8999999999999995,-2.5,0.0,-1.0999999999999943,-2.0772897697117148,-0.6899640218732297,0.9274375265439921,-1.056817061787242,-2.3470203177883437,0.8575372618503799,-0.4814195028706046,-0.07618355314358669,-1.247580994044653,-2.4981791158566975,-2.185067782986945,-1.733371037130941,-0.6423712574036955,0.6423712574036956,2.5482583408756803,-0.4923218979153483,-0.2853797270354649,0.0,18.795,7.1,-0.7029999999999998,82.651,0.4890000000000043,1.382000000000005,-74,-45,6,99.60000000000001,12.8,9.8,-3.7,-0.6999999999999993,6,-11
2008,64,58,Butler,7,81.0,32,19,South Alabama,10,61.0,64,1,20.0,116.138,96.8401,19.2975,18.9,114.2,95.3,0.889,58.5955,60.2,54.1,16.9,29.7,36.8,48.0,22.8,68.4,31.2,52.0,37.6,47.9,32.1,51.4,48.6,7.5,57.2,90.625,16.476,4.7,2.186,11.348,75.775,79.139,73.7,32,29,3,112.779,100.155,12.6239,12.3,110.5,98.2,0.795,64.0943,67.0,54.0,20.6,37.9,45.7,47.9,20.5,69.5,31.2,53.2,37.0,47.2,32.6,66.5,33.5,8.4,61.4,80.0,13.287,-0.3,2.249,21.566,75.45,79.1,71.1,30,24,6,17,9,1,9,10,0,96.9,38,41,3,1,4,3,39.1,19.5,10.5,2.9,6.4,0,0,14.8,7.3,1.3,9.8,0,0,0.7422768378853771,0.7030826912870423,-1.2548246771430727,0.5686516663790375,-1.3528103151608046,1.0237483466081754,-0.2939077035739682,2.1178030271712793,0.2403254095894232,0.20184966667485962,0.6088514559137704,-0.3773163952141667,-0.006172044908593182,0.43512916605612434,-0.353374481119868,-0.353374481119868,0.46864260417318526,0.8845029355214038,0.3523073112105612,0.07473185389314964,0.6147731501317573,0.38302353678465845,-0.5643365996147728,-0.33009727027275393,-2.747663120469294,0.10522099329417871,2.747663120469293,-0.10522099329418007,-0.9572717311682933,-0.6669638189166335,0.20147326899305126,1.0285740574908355,0.9427509304304484,0.2682170301647987,1.5908776070107336,0.6244837556955121,3.359000000000009,-3.3148999999999944,6.673599999999999,6.599999999999998,3.700000000000003,-2.9000000000000057,0.09399999999999997,-5.498800000000003,0.10000000000000142,-3.700000000000003,-8.2,-8.900000000000006,0.10000000000000142,2.3000000000000007,-1.0999999999999943,0.0,-1.2000000000000028,0.6000000000000014,0.6999999999999957,-0.5,-0.9000000000000004,-4.199999999999996,10.625,2.6000000000000085,0.03919414659833487,-1.8234763435221102,-2.3765586617689802,-2.4117107307452477,0.03847574291456357,0.9861678511279371,-0.4413012109647175,0.0,-0.41586033134821854,0.27757545731741157,0.23174961334709882,-0.23423932934201885,-2.8528841137634724,2.852884113763473,-0.29030791225165986,-0.8271007884977842,0.6745339002656497,0.9663938513152215,3.1889999999999983,5.0,-0.06300000000000017,-10.217999999999998,0.32500000000000284,0.03900000000000148,-21,-32,6,57.800000000000004,4.699999999999999,3.2,1.5999999999999999,-3.4000000000000004,0,-3
2008,64,16,Tennessee,2,72.0,16,65,American,15,57.0,64,1,15.0,117.787,95.4494,22.3372,24.1,116.3,92.2,0.935,69.5841,73.0,52.8,17.7,37.0,36.8,49.2,24.6,65.7,39.4,51.7,36.4,50.8,31.0,60.9,39.1,9.1,61.6,87.5,31.749,9.2,1.716,57.614,76.574,79.866,65.4,32,28,4,108.308,106.622,1.686,0.5,105.0,104.5,0.514,59.5974,61.5,52.5,22.1,32.3,42.1,47.5,19.7,69.8,38.0,46.5,40.9,44.6,35.1,59.9,40.1,8.1,56.3,65.625,11.469,-5.8,2.066,10.824,75.098,79.072,74.3,32,21,11,1,6,11,5,16,0,99.9,91,98,0,1,1,8,0.0,25.7,17.1,2.4,12.8,4,1,6.6,4.0,1.7,10.7,0,1,0.23275293210703005,0.11517049231202837,-0.8605595217869407,1.3078988326717844,0.762906542267678,-0.5992673248438116,-0.2939077035739682,1.1422795855215164,0.7020343245641804,0.04794669501660816,1.3806349915791127,-0.720331299954319,-1.089365926367452,0.5554840417737741,1.2083883583236643,0.9417459223211103,0.36467752133613185,-1.437383914506145,-0.20284360342426191,1.8789723264563198,1.5748786911411718,-0.4777607413617142,-1.079663124167215,0.8410993764373406,-0.9528022541942616,-1.1417349769600544,0.9528022541942605,1.1417349769600533,-0.44116877605423155,-0.7637331230005202,1.067959809324064,0.024237385743524756,-1.2105688281098872,1.0984125997225194,1.306644121329786,-0.6829902784368465,9.479,-11.172600000000003,20.6512,23.6,11.299999999999997,-12.299999999999997,0.42100000000000004,9.986700000000006,0.29999999999999716,-4.400000000000002,4.700000000000003,-5.300000000000004,1.7000000000000028,4.900000000000002,-4.099999999999994,1.3999999999999986,5.200000000000003,-4.5,6.199999999999996,-4.100000000000001,1.0,5.300000000000004,21.875,-8.899999999999991,0.11758243979500167,-2.1684583544587253,1.3621738671114896,-1.4361872890954848,0.6540876295475722,2.1009662915334317,-1.644849968141226,0.266642436002554,1.802061435842277,-2.0818159298805816,2.052639432502886,-1.9207625006045554,0.18893272276579287,-0.18893272276579287,0.32256434694628866,1.0437224235805393,-2.3089814278324066,1.9896343997666324,20.28,15.0,-0.34999999999999987,46.79,1.475999999999999,0.7939999999999969,-90,-92,15,99.9,19.1,13.100000000000001,0.7,2.1000000000000014,4,-13
2008,64,43,Kansas,1,85.0,1,25,Portland St.,16,61.0,64,1,24.0,121.433,87.4681,33.9647,35.4,121.0,85.6,0.982,66.8546,69.0,56.3,18.7,38.0,37.5,44.8,22.9,71.0,30.8,54.8,39.9,40.9,34.0,70.8,29.2,17.7,62.8,90.90909,30.29,9.9,2.047,89.633,77.1,81.427,70.8,33,30,3,108.411,102.574,5.83665,3.5,105.3,101.8,0.596,65.7791,67.3,54.7,20.7,34.0,38.2,50.0,21.5,68.7,35.3,51.2,39.9,49.4,34.2,59.0,41.0,9.4,61.4,70.0,13.96,-3.4,2.061,1.355,75.471,80.158,67.1,30,21,9,5,4,8,7,15,0,99.9,90,70,0,2,2,6,0.0,32.5,18.1,-0.4,10.3,4,2,11.4,6.5,1.0,13.6,0,2,1.6045480630487292,0.9774417174753832,-0.36772807759177617,0.617934810798553,1.0527307693126755,-0.10656613886731484,-0.104222589919847,0.08546252373427424,-0.9908983636765941,1.0098402678806833,0.6517283190062886,0.05145223571102322,1.0369035446443786,0.11418283080905654,-0.4295580342634547,0.42750693860189787,1.438983377319025,0.19140238327437456,1.416346564260635,1.416346564260635,-1.7027229833392448,1.1113794644469719,0.3257728518848983,0.4194685836217072,0.9176317011870875,-1.3117744274492678,-0.9176317011870897,1.3117744274492666,2.332884607683851,-0.34439947197034476,1.3042743203234304,1.0285740574908355,0.19038619551876318,-0.7695274317823513,1.6167169321138062,-0.28506339848351997,13.022000000000006,-15.105899999999991,28.12805,31.9,15.700000000000003,-16.200000000000003,0.386,1.0755000000000052,1.5999999999999943,-2.0,4.0,-0.7000000000000028,-5.200000000000003,1.3999999999999986,2.299999999999997,-4.4999999999999964,3.5999999999999943,0.0,-8.5,-0.20000000000000284,8.299999999999999,1.3999999999999986,20.909090000000006,3.700000000000003,0.627106345573346,-0.9856628883903291,1.1592969081799904,-0.18968511365412122,-2.0007386315572773,0.6002760832952654,0.9227207138353221,-0.8570649728653525,1.2475809940446505,0.0,-2.8141024477862167,-0.0936957317368089,2.2294061286363553,-2.2294061286363562,2.677284079654196,0.27570026283259486,0.9599136273011144,1.9017803305973262,16.33,13.3,-0.01399999999999979,88.27799999999999,1.6289999999999907,1.2690000000000055,-85,-66,13,99.9,21.1,11.600000000000001,-1.4,-3.299999999999999,4,-15
2008,64,11,UNLV,8,71.0,32,41,Kent St.,9,58.0,64,1,13.0,110.183,96.5636,13.6193,14.3,108.2,93.9,0.836,63.0988,66.1,48.8,15.8,29.4,32.7,46.1,21.6,67.6,32.4,47.7,33.5,46.7,29.9,60.2,39.8,8.6,61.8,78.125,20.716,2.2,1.999,18.883,76.523,78.859,74.4,32,25,7,108.462,94.6345,13.8274,12.6,106.8,94.2,0.809,64.1316,65.2,52.9,21.6,36.0,41.6,46.2,24.2,64.1,38.5,51.4,37.6,45.6,31.7,69.5,30.5,11.2,58.3,82.35294,17.688,2.3,1.917,13.77,75.948,78.878,70.6,34,28,6,24,21,2,7,9,1,90.5,21,17,2,9,11,3,85.0,17.0,11.2,2.2,10.0,0,1,15.6,10.0,3.8,10.4,0,2,-1.3350129318263404,0.27194707870536483,-1.7969392657577528,1.061483110574202,-1.4397575832743041,0.47308231522268035,-1.4049205121195294,1.006790218625716,-0.49071370578727336,-0.45223796287270984,0.09432909880354283,1.2091275392090357,-0.3271183801556667,-1.7312585968615934,-0.12482382168910727,1.036975363750594,-1.0215235831579266,0.260712438499076,-1.5444583137917474,0.3523073112105612,0.21748809867958688,-0.14668986515157106,-1.5949896487196573,-0.7517280630883889,-1.0850551601303158,0.6720191615915573,1.0850551601303147,-0.6720191615915587,-0.6024509495273759,0.23621635253297457,1.107345561157291,0.4180949040758034,1.1243562112712004,0.13849897242140494,0.45394366428694355,0.8384947437909135,1.7210000000000036,1.9290999999999912,-0.20809999999999995,1.700000000000001,1.4000000000000057,-0.29999999999999716,0.026999999999999913,-1.0328000000000088,-4.100000000000001,-5.800000000000001,-6.600000000000001,-8.899999999999999,-0.10000000000000142,-2.599999999999998,3.5,-6.100000000000001,-3.6999999999999957,-4.100000000000001,1.1000000000000014,-1.8000000000000007,-2.5999999999999996,3.5,-4.227940000000004,3.8000000000000114,-1.6069600105317052,-2.858422376331955,-1.9128398984969845,-2.4117107307452454,-0.038475742914563515,-1.114798440405493,1.4041402167059267,-1.1617991854397014,-1.2822360216570026,-1.8967656250023086,0.36417796383115797,-0.8432615856312684,-1.757074321721873,1.7570743217218734,-0.8386673020603505,0.6892506570814877,0.9858572388497955,-0.38455107950396994,3.0280000000000022,-0.09999999999999964,0.08200000000000007,5.1129999999999995,0.5750000000000028,-0.019000000000005457,3,4,-2,5.5,1.4000000000000004,1.1999999999999993,-1.5999999999999996,-0.40000000000000036,0,-1
