YEAR,A_TEAM_NO,B_TEAM_NO,A_TEAM,B_TEAM,CURRENT_ROUND,FAVORED_TEAM_SR,SPREAD,SPREAD_RAW,OVER_UNDER
2008,31,32,North Carolina,Mount St. Mary's,64,,,,
2008,44,63,Indiana,Arkansas,64,Indiana,-1.5,Indiana -1.5,139.0
2008,30,48,Notre Dame,George Mason,64,Notre Dame,-6.5,Notre Dame -6.5,142.0
2008,6,3,Washington St.,Winthrop,64,Washington State,-8.5,Washington State -8.5,113.0
2008,29,23,Oklahoma,Saint Joseph's,64,Oklahoma,-1.0,Oklahoma -1,127.0
2008,39,59,Louisville,Boise St.,64,Louisville,-13.0,Louisville -13,147.0
2008,58,19,Butler,South Alabama,64,Butler,-4.0,Butler -4,125.0
2008,16,65,Tennessee,American,64,Tennessee,-19.5,Tennessee -19.5,141.0
2008,31,63,North Carolina,Arkansas,32,North Carolina,-11.0,North Carolina -11,158.0
2008,30,6,Notre Dame,Washington St.,32,Washington State,-2.5,Washington State -2.5,134.0
2008,29,39,Oklahoma,Louisville,32,Louisville,-7.0,Louisville -7,127.0
2008,58,16,Butler,Tennessee,32,Tennessee,-4.5,Tennessee -4.5,140.0
2008,31,6,North Carolina,Washington St.,16,North Carolina,-8.0,North Carolina -8,142.0
2008,39,16,Louisville,Tennessee,16,Louisville,-3.0,Louisville -3,146.0
2008,31,39,North Carolina,Louisville,8,North Carolina,-5.5,North Carolina -5.5,155.0
2008,43,25,Kansas,Portland St.,64,Kansas,-22.5,Kansas -22.5,146.0
2008,11,41,UNLV,Kent St.,64,Kent State,-2.0,Kent State -2,126.0
2008,55,7,Clemson,Villanova,64,Clemson,-6.0,Clemson -6,144.0
2008,8,20,Vanderbilt,Siena,64,Vanderbilt,-6.5,Vanderbilt -6.5,154.0
2008,10,42,USC,Kansas St.,64,Southern California,-3.5,Southern California -3.5,141.0
2008,2,56,Wisconsin,Cal St. Fullerton,64,Wisconsin,-11.5,Wisconsin -11.5,135.0
2008,45,51,Gonzaga,Davidson,64,Davidson,-2.0,Davidson -2,141.0
2008,47,12,Georgetown,UMBC,64,Georgetown,-17.0,Georgetown -17,131.0
2008,43,11,Kansas,UNLV,32,Kansas,-13.5,Kansas -13.5,137.0
2008,7,20,Villanova,Siena,32,Villanova,-5.0,Villanova -5,145.0
2008,42,2,Kansas St.,Wisconsin,32,Wisconsin,-4.5,Wisconsin -4.5,131.0
2008,51,47,Davidson,Georgetown,32,Georgetown,-5.0,Georgetown -5,129.0
2008,43,7,Kansas,Villanova,16,Kansas,-12.0,Kansas -12,144.0
2008,2,51,Wisconsin,Davidson,16,Wisconsin,-4.5,Wisconsin -4.5,126.0
2008,43,51,Kansas,Davidson,8,Kansas,-9.0,Kansas -9,144.0
2008,37,9,Memphis,UT Arlington,64,Memphis,-24.5,Memphis -24.5,142.0
2008,34,27,Mississippi St.,Oregon,64,Mississippi State,-2.5,Mississippi State -2.5,142.0
2008,35,17,Michigan St.,Temple,64,Michigan State,-7.0,Michigan State -7,135.0
2008,26,28,Pittsburgh,Oral Roberts,64,Pittsburgh,-8.5,Pittsburgh -8.5,128.0
2008,38,40,Marquette,Kentucky,64,Marquette,-6.0,Marquette -6,130.0
2008,18,52,Stanford,Cornell,64,Stanford,-14.5,Stanford -14.5,136.0
2008,36,22,Miami FL,Saint Mary's,64,Miami (FL),-1.0,Miami (FL) -1,137.0
2008,15,62,Texas,Austin Peay,64,Texas,-15.5,Texas -15.5,140.0
2008,37,34,Memphis,Mississippi St.,32,Memphis,-9.0,Memphis -9,137.0
2008,35,26,Michigan St.,Pittsburgh,32,Pittsburgh,-2.0,Pittsburgh -2,131.0
2008,38,18,Marquette,Stanford,32,Stanford,-3.0,Stanford -3,133.0
2008,36,15,Miami FL,Texas,32,Texas,-6.5,Texas -6.5,139.0
2008,37,35,Memphis,Michigan St.,16,Memphis,-4.5,Memphis -4.5,136.0
2008,18,15,Stanford,Texas,16,Texas,-2.0,Texas -2,134.0
2008,37,15,Memphis,Texas,8,Memphis,-3.5,Memphis -3.5,145.0
2008,13,33,UCLA,Mississippi Valley St.,64,UCLA,-32.0,UCLA -32,123.0
2008,57,14,BYU,Texas A&M,64,Texas A&M,-2.0,Texas A&M -2,129.0
2008,50,4,Drake,Western Kentucky,64,Drake,-4.0,Drake -4,139.0
2008,54,21,Connecticut,San Diego,64,Connecticut,-11.0,Connecticut -11,130.0
2008,24,61,Purdue,Baylor,64,Purdue,-3.0,Purdue -3,141.0
2008,1,46,Xavier,Georgia,64,Xavier,-8.0,Xavier -8,129.0
